combination,minutes,target,trailing,trailing type,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
141,2,3.0,0.6,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
142,2,3.0,0.6,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
143,2,3.0,0.8,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
144,2,3.0,0.8,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
145,2,3.5,0.2,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
146,2,3.5,0.2,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
147,2,3.5,0.4,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
148,2,3.5,0.4,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
149,2,3.5,0.6,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
150,2,3.5,0.6,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
151,2,3.5,0.8,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
152,2,3.5,0.8,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
153,2,4.0,0.2,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
154,2,4.0,0.2,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
155,2,4.0,0.4,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
156,2,4.0,0.4,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
157,2,4.0,0.6,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
158,2,4.0,0.6,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
159,2,4.0,0.8,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
160,2,4.0,0.8,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
161,2,4.5,0.2,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
162,2,4.5,0.2,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
163,2,4.5,0.4,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
164,2,4.5,0.4,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
165,2,4.5,0.6,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
166,2,4.5,0.6,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
167,2,4.5,0.8,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
168,2,4.5,0.8,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
169,2,5.0,0.2,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
170,2,5.0,0.2,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
171,2,5.0,0.4,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
172,2,5.0,0.4,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
173,2,5.0,0.6,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
174,2,5.0,0.6,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
175,2,5.0,0.8,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
176,2,5.0,0.8,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
177,2,5.5,0.2,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
178,2,5.5,0.2,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
179,2,5.5,0.4,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
180,2,5.5,0.4,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
181,2,5.5,0.6,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
182,2,5.5,0.6,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
183,2,5.5,0.8,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
184,2,5.5,0.8,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
185,2,6.0,0.2,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
186,2,6.0,0.2,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
187,2,6.0,0.4,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
188,2,6.0,0.4,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
189,2,6.0,0.6,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
190,2,6.0,0.6,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
191,2,6.0,0.8,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
192,2,6.0,0.8,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
193,3,0.5,0.2,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
194,3,0.5,0.2,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
195,3,0.5,0.4,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
196,3,0.5,0.4,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
197,3,0.5,0.6,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
198,3,0.5,0.6,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
199,3,0.5,0.8,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
200,3,0.5,0.8,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
201,3,1.0,0.2,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
202,3,1.0,0.2,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
203,3,1.0,0.4,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
204,3,1.0,0.4,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
205,3,1.0,0.6,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
