combination,minutes,target,trailing,trailing type,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
364,6,12.0,0.4,staggered,3734.5,3728.8499999998603,1.0,217,42.86,7,1.04
365,6,12.0,0.6,traditional,7303.6,3994.7499999998163,1.83,253,44.66,8,1.56
366,6,12.0,0.6,staggered,8033.6,4193.749999999864,1.92,233,39.91,8,1.71
367,6,12.0,0.8,traditional,6823.6,4869.64999999988,1.4,254,40.55,9,1.39
368,6,12.0,0.8,staggered,6852.7,4964.649999999876,1.38,245,38.37,9,1.42
369,6,14.0,0.2,traditional,-525.5,4176.249999999509,-0.13,254,61.02,5,0.16
370,6,14.0,0.2,staggered,634.5,3654.749999999797,0.17,209,52.15,5,0.49
371,6,14.0,0.4,traditional,4063.6,3209.6499999998887,1.27,254,49.61,6,1.06
372,6,14.0,0.4,staggered,8148.6,3463.7499999998818,2.35,221,41.63,7,1.8
373,6,14.0,0.6,traditional,8833.6,3988.7499999998636,2.21,252,42.86,8,1.72
374,6,14.0,0.6,staggered,7481.8,4493.749999999876,1.66,232,37.93,8,1.54
375,6,14.0,0.8,traditional,7481.8,5519.649999999856,1.36,252,38.89,9,1.44
376,6,14.0,0.8,staggered,7346.8,5609.649999999872,1.31,246,37.4,9,1.43
377,6,16.0,0.2,traditional,214.5,3996.2499999995134,0.05,255,59.61,5,0.35
378,6,16.0,0.2,staggered,1784.5,3719.749999999807,0.48,211,51.18,5,0.73
379,6,16.0,0.4,traditional,7918.6,3319.6499999998723,2.39,254,48.43,8,1.69
380,6,16.0,0.4,staggered,7457.7,4363.749999999869,1.71,222,40.54,8,1.63
381,6,16.0,0.6,traditional,7157.7,5049.649999999878,1.42,253,40.32,9,1.36
382,6,16.0,0.6,staggered,7496.8,5314.649999999872,1.41,239,36.82,9,1.43
383,6,16.0,0.8,traditional,7966.8,4849.649999999885,1.64,252,37.3,9,1.45
384,6,16.0,0.8,staggered,7766.8,4859.649999999889,1.6,248,36.29,9,1.43
385,10,2.0,0.2,traditional,-2909.6,3168.749999998946,-0.92,222,90.99,2,-1.59
386,10,2.0,0.2,staggered,-2370.5,2582.8499999989035,-0.92,179,87.71,2,-1.2
387,10,2.0,0.4,traditional,-2097.8,2645.0499999993353,-0.79,255,83.92,2,-0.55
388,10,2.0,0.4,staggered,-1855.5,2715.049999999398,-0.68,199,79.4,3,-0.47
389,10,2.0,0.6,traditional,-1673.7,2985.0499999995127,-0.56,247,78.95,3,-0.29
390,10,2.0,0.6,staggered,-1499.6,3070.04999999951,-0.49,211,74.88,4,-0.22
391,10,2.0,0.8,traditional,-2563.7,4687.049999999703,-0.55,256,72.27,5,-0.57
392,10,2.0,0.8,staggered,-2799.6,4800.949999999682,-0.58,243,70.78,5,-0.68
393,10,4.0,0.2,traditional,-2689.6,3375.9499999991804,-0.8,253,83.79,2,-0.87
394,10,4.0,0.2,staggered,-3234.6,4055.0499999991725,-0.8,200,79.5,3,-1.28
395,10,4.0,0.4,traditional,-4144.6,5990.949999999243,-0.69,255,72.16,5,-1.14
