combination,minutes,target,range size,min atr,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
1090,6.0,8.0,6.0,18.0,-2996.2,5946.149999999777,-0.5,81.0,30.86,7.0,-1.03
1091,6.0,8.0,8.0,10.0,5789.3,3409.2499999998436,1.7,226.0,42.92,8.0,1.51
1092,6.0,8.0,8.0,12.0,5196.6,3409.2499999998436,1.52,223.0,42.15,8.0,1.38
1093,6.0,8.0,8.0,14.0,4132.6,3422.0499999998174,1.21,213.0,41.31,8.0,1.16
1094,6.0,8.0,8.0,16.0,1988.0,3720.6499999998177,0.53,169.0,39.64,8.0,0.69
1095,6.0,8.0,8.0,18.0,-1197.8,4146.949999999688,-0.29,107.0,36.45,8.0,-0.24
1096,6.0,8.0,10.0,10.0,6605.1,3825.6499999998414,1.73,238.0,44.12,8.0,1.64
1097,6.0,8.0,10.0,12.0,6012.4,3825.6499999998414,1.57,235.0,43.4,8.0,1.51
1098,6.0,8.0,10.0,14.0,4948.4,3825.649999999845,1.29,225.0,42.67,8.0,1.3
1099,6.0,8.0,10.0,16.0,2803.8,3825.6499999998377,0.73,181.0,41.44,8.0,0.86
1100,6.0,8.0,10.0,18.0,-878.8,4085.049999999723,-0.22,117.0,38.46,8.0,-0.12
1101,6.0,10.0,2.0,10.0,-438.7,436.6499999999687,-1.0,7.0,14.29,3.0,-2.63
1102,6.0,10.0,2.0,12.0,-438.7,436.6499999999687,-1.0,7.0,14.29,3.0,-2.63
1103,6.0,10.0,2.0,14.0,-438.7,436.6499999999687,-1.0,7.0,14.29,3.0,-2.63
1104,6.0,10.0,2.0,16.0,-291.4,289.34999999998945,-1.01,4.0,0.0,4.0,-4.41
1105,6.0,10.0,2.0,18.0,-39.1,37.05000000000291,-1.06,1.0,0.0,1.0,
1106,6.0,10.0,4.0,10.0,350.1,3611.0499999998174,0.1,89.0,30.34,8.0,0.27
1107,6.0,10.0,4.0,12.0,264.2,3608.999999999818,0.07,88.0,29.55,8.0,0.24
1108,6.0,10.0,4.0,14.0,-6.199999999999989,3187.5999999998166,-0.0,82.0,28.05,8.0,0.13
1109,6.0,10.0,4.0,16.0,-396.9,2639.2999999998665,-0.15,59.0,27.12,12.0,-0.07
1110,6.0,10.0,4.0,18.0,-1885.7,2070.5999999999267,-0.91,27.0,14.81,10.0,-1.41
1111,6.0,10.0,6.0,10.0,2755.6,4303.549999999783,0.64,183.0,36.07,11.0,0.83
1112,6.0,10.0,6.0,12.0,2062.9,4301.4999999997835,0.48,180.0,35.0,11.0,0.67
1113,6.0,10.0,6.0,14.0,1590.7,4081.899999999787,0.39,172.0,34.3,11.0,0.56
1114,6.0,10.0,6.0,16.0,242.39999999999998,5401.249999999749,0.04,135.0,32.59,11.0,0.22
1115,6.0,10.0,6.0,18.0,-2276.2,5796.149999999774,-0.39,81.0,28.4,11.0,-0.67
1116,6.0,10.0,8.0,10.0,4394.3,4964.249999999849,0.89,226.0,38.5,8.0,1.08
1117,6.0,10.0,8.0,12.0,3701.6,4964.249999999849,0.75,223.0,37.67,8.0,0.94
1118,6.0,10.0,8.0,14.0,2237.6,4964.249999999851,0.45,213.0,36.62,8.0,0.65
1119,6.0,10.0,8.0,16.0,1628.0,4964.249999999844,0.33,169.0,35.5,8.0,0.54
1120,6.0,10.0,8.0,18.0,-2492.8,5358.349999999682,-0.47,107.0,30.84,8.0,-0.59
1121,6.0,10.0,10.0,10.0,5140.1,5950.6499999998305,0.86,238.0,39.5,9.0,1.2
1122,6.0,10.0,10.0,12.0,4447.4,5950.6499999998305,0.75,235.0,38.72,9.0,1.06
1123,6.0,10.0,10.0,14.0,2983.4,5950.64999999984,0.5,225.0,37.78,9.0,0.79
1124,6.0,10.0,10.0,16.0,2373.8,5950.649999999841,0.4,181.0,37.02,9.0,0.68
1125,6.0,10.0,10.0,18.0,-2343.8,5950.649999999832,-0.39,117.0,32.48,9.0,-0.5
1126,6.0,12.0,2.0,10.0,-438.7,436.6499999999687,-1.0,7.0,14.29,3.0,-2.63
1127,6.0,12.0,2.0,12.0,-438.7,436.6499999999687,-1.0,7.0,14.29,3.0,-2.63
1128,6.0,12.0,2.0,14.0,-438.7,436.6499999999687,-1.0,7.0,14.29,3.0,-2.63
1129,6.0,12.0,2.0,16.0,-291.4,289.34999999998945,-1.01,4.0,0.0,4.0,-4.41
1130,6.0,12.0,2.0,18.0,-39.1,37.05000000000291,-1.06,1.0,0.0,1.0,
1131,6.0,12.0,4.0,10.0,95.10000000000002,3471.0499999998174,0.03,89.0,28.09,8.0,0.17
1132,6.0,12.0,4.0,12.0,9.199999999999989,3468.999999999818,0.0,88.0,27.27,8.0,0.14
1133,6.0,12.0,4.0,14.0,-361.2,3047.5999999998166,-0.12,82.0,25.61,8.0,-0.01
1134,6.0,12.0,4.0,16.0,-851.9,2439.2999999998683,-0.35,59.0,23.73,12.0,-0.28
1135,6.0,12.0,4.0,18.0,-2130.7,2128.6499999998905,-1.0,27.0,11.11,10.0,-1.58
1136,6.0,12.0,6.0,10.0,4250.6,3978.5499999997774,1.07,183.0,34.97,11.0,1.1
1137,6.0,12.0,6.0,12.0,3552.9,3976.499999999778,0.89,180.0,33.89,11.0,0.95
1138,6.0,12.0,6.0,14.0,2880.7,3856.899999999787,0.75,172.0,33.14,11.0,0.81
1139,6.0,12.0,6.0,16.0,1032.4,4268.549999999745,0.24,135.0,31.11,11.0,0.4
1140,6.0,12.0,6.0,18.0,-1976.2,5063.44999999977,-0.39,81.0,27.16,11.0,-0.54
1141,6.0,12.0,8.0,10.0,6534.3,4264.2499999998345,1.53,226.0,37.61,8.0,1.41
1142,6.0,12.0,8.0,12.0,5836.6,4264.2499999998345,1.37,223.0,36.77,8.0,1.28
1143,6.0,12.0,8.0,14.0,3972.6,4264.249999999847,0.93,213.0,35.68,8.0,0.95
1144,6.0,12.0,8.0,16.0,2763.0,4264.249999999847,0.65,169.0,34.32,8.0,0.75
1145,6.0,12.0,8.0,18.0,-2247.8,4670.449999999733,-0.48,107.0,29.91,8.0,-0.49
1146,6.0,12.0,10.0,10.0,7010.1,5250.649999999812,1.34,238.0,38.24,9.0,1.46
1147,6.0,12.0,10.0,12.0,6312.4,5250.649999999812,1.2,235.0,37.45,9.0,1.33
1148,6.0,12.0,10.0,14.0,4448.4,5250.649999999834,0.85,225.0,36.44,9.0,1.01
1149,6.0,12.0,10.0,16.0,3238.8,5250.649999999841,0.62,181.0,35.36,9.0,0.82
1150,6.0,12.0,10.0,18.0,-1698.8,5250.649999999834,-0.32,117.0,31.62,9.0,-0.31
1151,6.0,14.0,2.0,10.0,-438.7,436.6499999999687,-1.0,7.0,14.29,3.0,-2.63
1152,6.0,14.0,2.0,12.0,-438.7,436.6499999999687,-1.0,7.0,14.29,3.0,-2.63
1153,6.0,14.0,2.0,14.0,-438.7,436.6499999999687,-1.0,7.0,14.29,3.0,-2.63
1154,6.0,14.0,2.0,16.0,-291.4,289.34999999998945,-1.01,4.0,0.0,4.0,-4.41
1155,6.0,14.0,2.0,18.0,-39.1,37.05000000000291,-1.06,1.0,0.0,1.0,
1156,6.0,14.0,4.0,10.0,-1359.9,3796.0499999998137,-0.36,89.0,25.84,8.0,-0.37
1157,6.0,14.0,4.0,12.0,-1445.8,3793.9999999998126,-0.38,88.0,25.0,8.0,-0.41
1158,6.0,14.0,4.0,14.0,-1691.2,3372.5999999998185,-0.5,82.0,23.17,8.0,-0.52
1159,6.0,14.0,4.0,16.0,-2016.9,2439.2999999998674,-0.83,59.0,20.34,12.0,-0.82
1160,6.0,14.0,4.0,18.0,-1830.7,1870.5999999999258,-0.98,27.0,11.11,10.0,-1.19
1161,6.0,14.0,6.0,10.0,3535.6,3400.749999999829,1.04,183.0,33.33,11.0,0.91
1162,6.0,14.0,6.0,12.0,2837.9,3398.6999999998297,0.83,180.0,32.22,11.0,0.76
1163,6.0,14.0,6.0,14.0,2190.7,3379.0999999998367,0.65,172.0,31.4,11.0,0.63
1164,6.0,14.0,6.0,16.0,342.4,4040.5499999996555,0.08,135.0,28.89,11.0,0.22
1165,6.0,14.0,6.0,18.0,-1356.2,4363.44999999977,-0.31,81.0,25.93,11.0,-0.31
1166,6.0,14.0,8.0,10.0,5659.3,4051.449999999895,1.4,226.0,36.28,8.0,1.21
1167,6.0,14.0,8.0,12.0,4961.6,4051.449999999895,1.22,223.0,35.43,8.0,1.08
1168,6.0,14.0,8.0,14.0,2922.6,4051.449999999895,0.72,213.0,34.27,8.0,0.72
1169,6.0,14.0,8.0,16.0,1613.0,4279.749999999796,0.38,169.0,32.54,8.0,0.48
1170,6.0,14.0,8.0,18.0,-1492.8,4201.049999999677,-0.36,107.0,28.97,8.0,-0.27
1171,6.0,14.0,10.0,10.0,6535.1,5015.649999999818,1.3,238.0,36.97,9.0,1.32
1172,6.0,14.0,10.0,12.0,5837.4,5015.649999999818,1.16,235.0,36.17,9.0,1.2
1173,6.0,14.0,10.0,14.0,3798.4,5015.649999999834,0.76,225.0,35.11,9.0,0.86
1174,6.0,14.0,10.0,16.0,2488.8,5015.64999999984,0.5,181.0,33.7,9.0,0.64
1175,6.0,14.0,10.0,18.0,-543.8,5015.649999999834,-0.11,117.0,30.77,9.0,-0.01
1176,6.0,16.0,2.0,10.0,-438.7,436.6499999999687,-1.0,7.0,14.29,3.0,-2.63
1177,6.0,16.0,2.0,12.0,-438.7,436.6499999999687,-1.0,7.0,14.29,3.0,-2.63
1178,6.0,16.0,2.0,14.0,-438.7,436.6499999999687,-1.0,7.0,14.29,3.0,-2.63
1179,6.0,16.0,2.0,16.0,-291.4,289.34999999998945,-1.01,4.0,0.0,4.0,-4.41
1180,6.0,16.0,2.0,18.0,-39.1,37.05000000000291,-1.06,1.0,0.0,1.0,
1181,6.0,16.0,4.0,10.0,-1484.9,4098.349999999809,-0.36,89.0,24.72,11.0,-0.41
1182,6.0,16.0,4.0,12.0,-1570.8,4096.29999999981,-0.38,88.0,23.86,11.0,-0.44
1183,6.0,16.0,4.0,14.0,-1816.2,3674.899999999815,-0.49,82.0,21.95,11.0,-0.55
1184,6.0,16.0,4.0,16.0,-2341.9,3006.1999999998407,-0.78,59.0,18.64,15.0,-0.96
1185,6.0,16.0,4.0,18.0,-2355.7,2353.6499999998914,-1.0,27.0,7.41,14.0,-1.67
1186,6.0,16.0,6.0,10.0,4320.6,3287.2499999999163,1.31,183.0,32.79,11.0,1.03
1187,6.0,16.0,6.0,12.0,3622.9,3287.2499999999163,1.1,180.0,31.67,11.0,0.89
1188,6.0,16.0,6.0,14.0,2875.7,3344.099999999833,0.86,172.0,30.81,11.0,0.75
1189,6.0,16.0,6.0,16.0,527.4,4625.549999999659,0.11,135.0,28.15,11.0,0.25
1190,6.0,16.0,6.0,18.0,-1641.2,4801.749999999729,-0.34,81.0,24.69,11.0,-0.38
1191,6.0,16.0,8.0,10.0,6719.3,4016.4499999998898,1.67,226.0,35.84,8.0,1.34
1192,6.0,16.0,8.0,12.0,6021.6,4016.4499999998898,1.5,223.0,34.98,8.0,1.22
1193,6.0,16.0,8.0,14.0,3682.6,4101.149999999801,0.9,213.0,33.8,8.0,0.83
1194,6.0,16.0,8.0,16.0,1853.0,5199.749999999803,0.36,169.0,31.95,8.0,0.52
1195,6.0,16.0,8.0,18.0,-1822.8,5131.0499999996855,-0.36,107.0,28.04,8.0,-0.34
1196,6.0,16.0,10.0,10.0,6940.1,4780.649999999816,1.45,238.0,36.13,9.0,1.33
1197,6.0,16.0,10.0,12.0,6242.4,4780.649999999816,1.31,235.0,35.32,9.0,1.22
1198,6.0,16.0,10.0,14.0,3903.4,4780.649999999832,0.82,225.0,34.22,9.0,0.84
1199,6.0,16.0,10.0,16.0,2073.8,4780.649999999836,0.43,181.0,32.6,9.0,0.54
1200,6.0,16.0,10.0,18.0,-1528.8,4871.44999999973,-0.31,117.0,29.06,9.0,-0.24
1201,10.0,2.0,2.0,10.0,153.6,120.2499999999909,1.28,4.0,50.0,2.0,0.81
1202,10.0,2.0,2.0,12.0,153.6,120.2499999999909,1.28,4.0,50.0,2.0,0.81
1203,10.0,2.0,2.0,14.0,153.6,120.2499999999909,1.28,4.0,50.0,2.0,0.81
1204,10.0,2.0,2.0,16.0,57.7,118.19999999999163,0.49,3.0,33.33,2.0,0.34
1205,10.0,2.0,2.0,18.0,-118.2,116.14999999999236,-1.02,2.0,0.0,2.0,-11.0
1206,10.0,2.0,4.0,10.0,-1725.0,2218.2499999998763,-0.78,50.0,50.0,5.0,-1.57
1207,10.0,2.0,4.0,12.0,-1820.9,2216.199999999876,-0.82,49.0,48.98,5.0,-1.69
