combination,minutes,target,range size,min atr,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
1333,30.0,24.0,20.0,70.0,1181.7,785.25,1.5,13.0,61.54,2.0,0.92
1334,30.0,24.0,20.0,80.0,654.0,963.4499999999989,0.68,10.0,60.0,2.0,0.6
1335,30.0,24.0,20.0,90.0,0.3999999999999986,783.2000000000007,0.0,6.0,50.0,2.0,0.03
1336,30.0,24.0,30.0,50.0,1615.6,2996.75,0.54,84.0,53.57,6.0,0.5
1337,30.0,24.0,30.0,60.0,-43.89999999999998,3704.45,-0.01,79.0,51.9,6.0,0.07
1338,30.0,24.0,30.0,70.0,944.9,2994.8499999999985,0.32,61.0,55.74,6.0,0.35
1339,30.0,24.0,30.0,80.0,2397.3,1835.75,1.31,47.0,59.57,4.0,0.87
1340,30.0,24.0,30.0,90.0,2913.4,1837.5499999999993,1.59,26.0,65.38,3.0,1.39
1341,30.0,24.0,40.0,50.0,-5830.4,7891.500000000009,-0.74,94.0,50.0,8.0,-1.13
1342,30.0,24.0,40.0,60.0,-5559.0,7620.1000000000095,-0.73,90.0,51.11,8.0,-1.09
1343,30.0,24.0,40.0,70.0,-6062.1,7346.400000000014,-0.83,81.0,50.62,8.0,-1.26
1344,30.0,24.0,40.0,80.0,-1420.9,6029.350000000002,-0.24,99.0,56.57,5.0,-0.2
1345,30.0,24.0,40.0,90.0,-6106.8,6582.700000000006,-0.93,48.0,47.92,5.0,-1.6
1346,30.0,24.0,50.0,50.0,1324.2,5533.650000000022,0.24,188.0,57.45,5.0,0.3
1347,30.0,24.0,50.0,60.0,-104.79999999999995,5534.95000000002,-0.02,178.0,57.3,5.0,0.09
1348,30.0,24.0,50.0,70.0,-5502.7,5978.600000000019,-0.92,97.0,53.61,5.0,-0.98
1349,30.0,24.0,50.0,80.0,1869.7,3466.8500000000004,0.54,133.0,60.15,5.0,0.4
1350,30.0,24.0,50.0,90.0,-5517.8,5993.70000000001,-0.92,58.0,53.45,6.0,-1.23
